prior,combinacion,caso,dif_log10_LR_total,dif_posterior_completa,dif_posterior_sin_gen,ok_log10_LR_total,ok_posterior_completa,ok_posterior_sin_gen
uniforme,A1+B2+G1,C4,0,5.10740150357197e-18,1.227086536326194e-6,TRUE,TRUE,TRUE
uniforme,A1+B2+G1,C5,0,7.652441178142372e-28,1.3209879747670683e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,H0,0,1.033951100982367e-31,2.9967532601978247e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,C1,0,5.737200135493478e-31,4.819128562160574e-7,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,C2,3.552713678800501e-15,0,1.3937766080163172e-7,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,C3,0,2.466039337234336e-31,1.8531209227557605e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,C4,0,5.1074015035719286e-18,3.212270127506134e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G1,C5,0,1.41971117232526e-27,4.698437660516364e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,H0,0,6.308120779076972e-31,2.833148410984394e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,C1,1.1102230246251565e-16,2.5905978454758856e-30,1.071480802388846e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,C2,0,2.220446049250313e-16,2.474711516486927e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,C3,2.7755575615628914e-17,9.044821490475946e-31,3.1541637138997e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,C4,1.7763568394002505e-15,1.1609138701261822e-16,2.6857769968580136e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G2,C5,8.881784197001252e-16,1.254584737858001e-25,2.446571907635531e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,H0,0,8.47227414140598e-31,9.274076469400344e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,C1,0,5.786287388179515e-30,3.3935440100418476e-6,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,C2,0,2.220446049250313e-16,4.822454904296336e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,C3,0,2.0202262041587732e-30,2.5316401447678214e-6,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,C4,0,1.1609138701261822e-16,1.2082725253659277e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G2,C5,8.881784197001252e-16,2.3275552565542876e-25,5.375689613364848e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,H0,0,2.0483303501601577e-30,9.611652666207619e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,C1,0,6.834393809860187e-30,3.5741205143147853e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,C2,0,2.220446049250313e-16,4.849835031517369e-6,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,C3,1.1102230246251565e-16,4.0550853544838435e-30,3.9254890888377894e-6,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,C4,0,1.3589391171007971e-16,1.227086536326194e-6,TRUE,TRUE,TRUE
uniforme,A1+B2+G2,C5,8.881784197001252e-16,2.9430659896990013e-25,1.3209879747670683e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,H0,0,2.7510596049903805e-30,2.9967532601978247e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,C1,0,1.5265112173588776e-29,4.819128562160574e-7,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,C2,3.552713678800501e-15,2.220446049250313e-16,1.3937766080163172e-7,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,C3,1.1102230246251565e-16,9.05732600898209e-30,1.8531209227557605e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,C4,0,1.3589391171008082e-16,3.212270127506134e-6,TRUE,TRUE,TRUE
uniforme,A2+B2+G2,C5,0,5.460092497542754e-25,4.698437660516364e-6,TRUE,TRUE,TRUE
