combinacion,prior,lambda,caso,posterior
A2+B1+G2,demografica,0,C5,0.004848292693418552
A1+B2+G2,demografica,0,H0,0.0011366416088813855
A1+B2+G2,demografica,0,C1,0.003413233972559638
A1+B2+G2,demografica,0,C2,0.5135896171107238
A1+B2+G2,demografica,0,C3,3.718560061638077e-4
A1+B2+G2,demografica,0,C4,0.4757990276346383
A1+B2+G2,demografica,0,C5,0.00568962366703311
A2+B2+G2,demografica,0,H0,0.0015115912634591285
A2+B2+G2,demografica,0,C1,0.007548781982010517
A2+B2+G2,demografica,0,C2,0.5085422712080842
A2+B2+G2,demografica,0,C3,8.224047755878524e-4
A2+B2+G2,demografica,0,C4,0.4711230719832727
A2+B2+G2,demografica,0,C5,0.010451878787585744
A1+B1+G1,uniforme,0,H0,3.971668515890156e-4
A1+B1+G1,uniforme,0,C1,0.0016310714808023888
A1+B1+G1,uniforme,0,C2,0.5297524747115165
A1+B1+G1,uniforme,0,C3,1.568458362861003e-4
A1+B1+G1,uniforme,0,C4,0.46118268577699684
A1+B1+G1,uniforme,0,C5,0.006879755342809236
A2+B1+G1,uniforme,0,H0,5.2907259235306e-4
A2+B1+G1,uniforme,0,C1,0.0036133935440100418
A2+B1+G1,uniforme,0,C2,0.5254304822454904
A2+B1+G1,uniforme,0,C3,3.474683598552322e-4
A2+B1+G1,uniforme,0,C4,0.45742012082725253
A2+B1+G1,uniforme,0,C5,0.012659462431038663
A1+B2+G1,uniforme,0,H0,0.0011809611652666208
A1+B2+G1,uniforme,0,C1,0.003940357412051431
A1+B2+G1,uniforme,0,C2,0.4851048498350315
A1+B2+G1,uniforme,0,C3,6.439254890888378e-4
A1+B2+G1,uniforme,0,C4,0.49435122708653634
A1+B2+G1,uniforme,0,C5,0.014778679012025233
A2+B2+G1,uniforme,0,H0,0.0015570032467398021
A2+B2+G1,uniforme,0,C1,0.008639518087143784
A2+B2+G1,uniforme,0,C2,0.4762001393776608
A2+B2+G1,uniforme,0,C3,0.0014118531209227558
A2+B2+G1,uniforme,0,C4,0.4852767877298725
A2+B2+G1,uniforme,0,C5,0.026914698437660516
A1+B1+G2,uniforme,0,H0,3.971668515890156e-4
A1+B1+G2,uniforme,0,C1,0.0016310714808023888
A1+B1+G2,uniforme,0,C2,0.5297524747115165
A1+B1+G2,uniforme,0,C3,1.568458362861003e-4
A1+B1+G2,uniforme,0,C4,0.46118268577699684
A1+B1+G2,uniforme,0,C5,0.006879755342809236
A2+B1+G2,uniforme,0,H0,5.2907259235306e-4
A2+B1+G2,uniforme,0,C1,0.0036133935440100418
A2+B1+G2,uniforme,0,C2,0.5254304822454904
A2+B1+G2,uniforme,0,C3,3.474683598552322e-4
A2+B1+G2,uniforme,0,C4,0.45742012082725253
A2+B1+G2,uniforme,0,C5,0.012659462431038663
A1+B2+G2,uniforme,0,H0,0.0011809611652666208
A1+B2+G2,uniforme,0,C1,0.003940357412051431
A1+B2+G2,uniforme,0,C2,0.4851048498350315
A1+B2+G2,uniforme,0,C3,6.439254890888378e-4
A1+B2+G2,uniforme,0,C4,0.49435122708653634
A1+B2+G2,uniforme,0,C5,0.014778679012025233
A2+B2+G2,uniforme,0,H0,0.0015570032467398021
A2+B2+G2,uniforme,0,C1,0.008639518087143784
A2+B2+G2,uniforme,0,C2,0.4762001393776608
A2+B2+G2,uniforme,0,C3,0.0014118531209227558
A2+B2+G2,uniforme,0,C4,0.4852767877298725
A2+B2+G2,uniforme,0,C5,0.026914698437660516
A1+B1+G1,demografica,0.3,H0,1.920901499768846e-12
A1+B1+G1,demografica,0.3,C1,7.0998243611001875e-12
A1+B1+G1,demografica,0.3,C2,0.9999948900776613
A1+B1+G1,demografica,0.3,C3,6.083539692843181e-13
A1+B1+G1,demografica,0.3,C4,5.109814044206495e-6
A1+B1+G1,demografica,0.3,C5,9.866544681195117e-11
A2+B1+G1,demografica,0.3,H0,2.5799132060249104e-12
A2+B1+G1,demografica,0.3,C1,1.5857970478429487e-11
A2+B1+G1,demografica,0.3,C2,0.9999948899831117
A2+B1+G1,demografica,0.3,C3,1.358802527313678e-12
A2+B1+G1,demografica,0.3,C4,5.109814043723365e-6
A2+B1+G1,demografica,0.3,C5,1.8304804164747842e-10
A1+B2+G1,demografica,0.3,H0,6.237416101170905e-12
A1+B2+G1,demografica,0.3,C1,1.8730407519093996e-11
A1+B2+G1,demografica,0.3,C2,0.9999940183150872
A1+B2+G1,demografica,0.3,C3,2.727444785061522e-12
A1+B2+G1,demografica,0.3,C4,5.981425763775749e-6
A1+B2+G1,demografica,0.3,C5,2.3145400941487323e-10
A2+B2+G1,demografica,0.3,H0,8.377312512221691e-12
A2+B2+G1,demografica,0.3,C1,4.1835717947466326e-11
A2+B2+G1,demografica,0.3,C2,0.99999401808853
A2+B2+G1,demografica,0.3,C3,6.0919449098372115e-12
A2+B2+G1,demografica,0.3,C4,5.981425762420604e-6
A2+B2+G1,demografica,0.3,C5,4.294026380887453e-10
A1+B1+G2,demografica,0.3,H0,5.1404528015506534e-12
A1+B1+G2,demografica,0.3,C1,1.899957495578345e-11
A1+B1+G2,demografica,0.3,C2,0.9999863252030536
A1+B1+G2,demografica,0.3,C3,1.7932986696151024e-12
A1+B1+G2,demografica,0.3,C4,1.367418262836746e-5
A1+B1+G2,demografica,0.3,C5,5.88384694809859e-10
A2+B1+G2,demografica,0.3,H0,6.904009426553621e-12
A2+B1+G2,demografica,0.3,C1,4.243692284430637e-11
A2+B1+G2,demografica,0.3,C2,0.999986324672438
A2+B1+G2,demografica,0.3,C3,4.00546209356585e-12
A2+B1+G2,demografica,0.3,C4,1.367418262111162e-5
A2+B1+G2,demografica,0.3,C5,1.0915945708795122e-9
A1+B2+G2,demografica,0.3,H0,1.6691692006589063e-11
A1+B2+G2,demografica,0.3,C1,5.012367114772523e-11
A1+B2+G2,demografica,0.3,C2,0.9999839918980653
A1+B2+G2,demografica,0.3,C3,8.039917881244586e-12
A1+B2+G2,demografica,0.3,C4,1.6006646821346273e-5
A1+B2+G2,demografica,0.3,C5,1.3802582570678933e-09
A2+B2+G2,demografica,0.3,H0,2.2418180522938253e-11
A2+B2+G2,demografica,0.3,C1,1.1195483944102009e-10
A2+B2+G2,demografica,0.3,C2,0.9999839906401583
A2+B2+G2,demografica,0.3,C3,1.795773723079679e-11
A2+B2+G2,demografica,0.3,C4,1.6006646801211087e-5
A2+B2+G2,demografica,0.3,C5,2.560709739769853e-9
A1+B1+G1,uniforme,0.3,H0,2.112990569677196e-12
A1+B1+G1,uniforme,0.3,C1,8.677558672422167e-12
A1+B1+G1,uniforme,0.3,C2,0.9999943789241887
A1+B1+G1,uniforme,0.3,C3,1.1153150402542242e-12
A1+B1+G1,uniforme,0.3,C4,5.620792575523361e-6
A1+B1+G1,uniforme,0.3,C5,2.713298400408977e-10
A2+B1+G1,uniforme,0.3,H0,2.8379030755886832e-12
A2+B1+G1,uniforme,0.3,C1,1.938195400795855e-11
A2+B1+G1,uniforme,0.3,C2,0.999994378679333
A2+B1+G1,uniforme,0.3,C3,2.4911366930069815e-12
A2+B1+G1,uniforme,0.3,C4,5.620792574147074e-6
A2+B1+G1,uniforme,0.3,C5,5.033818571480739e-10
A1+B2+G1,uniforme,0.3,H0,6.861153604512419e-12
A1+B2+G1,uniforme,0.3,C1,2.2892706598578364e-11
A1+B2+G1,uniforme,0.3,C2,0.9999934197643456
A1+B2+G1,uniforme,0.3,C3,5.000312446319055e-12
A1+B2+G1,uniforme,0.3,C4,6.579564401924253e-6
A1+B2+G1,uniforme,0.3,C5,6.364981449119599e-10
A2+B2+G1,uniforme,0.3,H0,9.215038244472298e-12
A2+B2+G1,uniforme,0.3,C1,5.1132513534279485e-11
A2+B2+G1,uniforme,0.3,C2,0.9999934191832293
A2+B2+G1,uniforme,0.3,C3,1.1168558979081745e-11
A2+B2+G1,uniforme,0.3,C4,6.579564398100744e-6
A2+B2+G1,uniforme,0.3,C5,1.1808565475181553e-9
A1+B1+G2,uniforme,0.3,H0,5.65449034379486e-12
A1+B1+G2,uniforme,0.3,C1,2.3221670945942997e-11
A1+B1+G2,uniforme,0.3,C2,0.9999849567694726
A1+B1+G2,uniforme,0.3,C3,3.2877097285476163e-12
A1+B1+G2,uniforme,0.3,C4,1.5041580307490992e-5
A1+B1+G2,uniforme,0.3,C5,1.6180556964920554e-9
A2+B1+G2,uniforme,0.3,H0,7.594399969878048e-12
A2+B1+G2,uniforme,0.3,C1,5.186727911899695e-11
A2+B1+G2,uniforme,0.3,C2,0.9999849553510277
A2+B1+G2,uniforme,0.3,C3,7.343337115997367e-12
A2+B1+G2,uniforme,0.3,C4,1.5041580286155032e-5
A2+B1+G2,uniforme,0.3,C5,3.0018809593169454e-9
A1+B2+G2,uniforme,0.3,H0,1.8360831773005174e-11
A1+B2+G2,uniforme,0.3,C1,6.126216652675175e-11
A1+B2+G2,uniforme,0.3,C2,0.999982388826656
A1+B2+G2,uniforme,0.3,C3,1.4739825819538945e-11
A1+B2+G2,uniforme,0.3,C4,1.7607283277251394e-5
A1+B2+G2,uniforme,0.3,C5,3.795704122044812e-9
A2+B2+G2,uniforme,0.3,H0,2.465995899136165e-11
A2+B2+G2,uniforme,0.3,C1,1.3683347300668627e-10
A2+B2+G2,uniforme,0.3,C2,0.9999823854804254
A2+B2+G2,uniforme,0.3,C3,3.2922465409714257e-11
A2+B2+G2,uniforme,0.3,C4,1.7607283218332334e-5
A2+B2+G2,uniforme,0.3,C5,7.041940480728688e-9
A1+B1+G1,demografica,0.5,H0,3.832721951376806e-18
A1+B1+G1,demografica,0.5,C1,1.416608435309303e-17
A1+B1+G1,demografica,0.5,C2,0.9999999982282295
A1+B1+G1,demografica,0.5,C3,1.4728501538749364e-18
A1+B1+G1,demografica,0.5,C4,1.7717698785535989e-9
A1+B1+G1,demografica,0.5,C5,7.48457777052833e-16
A2+B1+G1,demografica,0.5,H0,5.147629891227319e-18
A2+B1+G1,demografica,0.5,C1,3.164097251734283e-17
A2+B1+G1,demografica,0.5,C2,0.9999999982282288
A2+B1+G1,demografica,0.5,C3,3.2897171920867338e-18
A2+B1+G1,demografica,0.5,C4,1.7717698785535989e-9
A2+B1+G1,demografica,0.5,C5,1.3885684886160584e-15
A1+B2+G1,demografica,0.5,H0,1.244535570783153e-17
A1+B2+G1,demografica,0.5,C1,3.737229973867025e-17
A1+B2+G1,demografica,0.5,C2,0.999999997926005
A1+B2+G1,demografica,0.5,C3,6.603262532943913e-18
A1+B2+G1,demografica,0.5,C4,2.0739931322192365e-9
A1+B2+G1,demografica,0.5,C5,1.7557687107409427e-15
A2+B2+G1,demografica,0.5,H0,1.6715035909551494e-17
A2+B2+G1,demografica,0.5,C1,8.347373059958996e-17
A2+B2+G1,demografica,0.5,C2,0.9999999979260035
A2+B2+G1,demografica,0.5,C3,1.4748863773640988e-17
A2+B2+G1,demografica,0.5,C4,2.0739931322192365e-9
A2+B2+G1,demografica,0.5,C5,3.25737159767774e-15
A1+B1+G2,demografica,0.5,H0,1.9770029205139145e-17
A1+B1+G2,demografica,0.5,C1,7.307180247774254e-17
A1+B1+G2,demografica,0.5,C2,0.9999999908608036
A1+B1+G2,demografica,0.5,C3,8.926034503241905e-18
A1+B1+G2,demografica,0.5,C4,9.139181680321858e-9
A1+B1+G2,demografica,0.5,C5,1.467801415558577e-14
A2+B1+G2,demografica,0.5,H0,2.6552615759213296e-17
A2+B1+G2,demografica,0.5,C1,1.632111482864437e-16
A2+B1+G2,demografica,0.5,C2,0.9999999908607907
A2+B1+G2,demografica,0.5,C3,1.9936942726467722e-17
A2+B1+G2,demografica,0.5,C4,9.139181680321782e-9
A2+B1+G2,demografica,0.5,C5,2.7231232751915103e-14
A1+B2+G2,demografica,0.5,H0,6.419590270945065e-17
A1+B2+G2,demografica,0.5,C1,1.9277460398680077e-16
A1+B2+G2,demografica,0.5,C2,0.9999999893018491
A1+B2+G2,demografica,0.5,C3,4.0018293085607146e-17
A1+B2+G2,demografica,0.5,C4,1.0698116185801931e-8
A1+B2+G2,demografica,0.5,C5,3.443240052803076e-14
A2+B2+G2,demografica,0.5,H0,8.621985937768592e-17
A2+B2+G2,demografica,0.5,C1,4.305760007320619e-16
A2+B2+G2,demografica,0.5,C2,0.9999999893018193
A2+B2+G2,demografica,0.5,C3,8.938374784110036e-17
A2+B2+G2,demografica,0.5,C4,1.0698116185801625e-8
A2+B2+G2,demografica,0.5,C5,6.38803521407649e-14
A1+B1+G1,uniforme,0.5,H0,4.215994145767535e-18
A1+B1+G1,uniforme,0.5,C1,1.7314103095157246e-17
A1+B1+G1,uniforme,0.5,C2,0.9999999980510512
A1+B1+G1,uniforme,0.5,C3,2.700225281625647e-18
A1+B1+G1,uniforme,0.5,C4,1.948946866063646e-9
A1+B1+G1,uniforme,0.5,C5,2.058258886530618e-15
A2+B1+G1,uniforme,0.5,H0,5.662392879346793e-18
A2+B1+G1,uniforme,0.5,C1,3.8672299736567056e-17
A2+B1+G1,uniforme,0.5,C2,0.9999999980510494
A2+B1+G1,uniforme,0.5,C3,6.031148184423749e-18
A2+B1+G1,uniforme,0.5,C4,1.948946866063646e-9
A2+B1+G1,uniforme,0.5,C5,3.818563343017606e-15
A1+B2+G1,uniforme,0.5,H0,1.3689891275775207e-17
A1+B2+G1,uniforme,0.5,C1,4.567725522667839e-17
A1+B2+G1,uniforme,0.5,C2,0.9999999977186027
A1+B2+G1,uniforme,0.5,C3,1.2105981307886218e-17
A1+B2+G1,uniforme,0.5,C4,2.281392444967977e-9
A1+B2+G1,uniforme,0.5,C5,4.828363953536141e-15
A2+B2+G1,uniforme,0.5,H0,1.8386539496693318e-17
A2+B2+G1,uniforme,0.5,C1,1.0202344848945004e-16
A2+B2+G1,uniforme,0.5,C2,0.9999999977185985
A2+B2+G1,uniforme,0.5,C3,2.70395835794003e-17
A2+B2+G1,uniforme,0.5,C4,2.281392444967977e-9
A2+B2+G1,uniforme,0.5,C5,8.957771891755852e-15
A1+B1+G2,uniforme,0.5,H0,2.1747032105777736e-17
A1+B1+G2,uniforme,0.5,C1,8.930998072450638e-17
A1+B1+G2,uniforme,0.5,C2,0.9999999899468596
A1+B1+G2,uniforme,0.5,C3,1.6364396574320858e-17
A1+B1+G2,uniforme,0.5,C4,1.0053099839166125e-8
A1+B1+G2,uniforme,0.5,C5,4.0364538890970216e-14
A2+B1+G2,uniforme,0.5,H0,2.9207877308439635e-17
A2+B1+G2,uniforme,0.5,C1,1.994802921677804e-16
A2+B1+G2,uniforme,0.5,C2,0.9999999899468252
A2+B1+G2,uniforme,0.5,C3,3.65510616317844e-17
A2+B1+G2,uniforme,0.5,C4,1.0053099839165774e-8
A2+B1+G2,uniforme,0.5,C5,7.488588999932369e-14
A1+B2+G2,uniforme,0.5,H0,7.061549290484588e-17
A1+B2+G2,uniforme,0.5,C1,2.3561340462068203e-16
A1+B2+G2,uniforme,0.5,C2,0.9999999882319773
A1+B2+G2,uniforme,0.5,C3,7.336687057845292e-17
A1+B2+G2,uniforme,0.5,C4,1.176792779179197e-8
A1+B2+G2,uniforme,0.5,C5,9.468910135077971e-14
A2+B2+G2,uniforme,0.5,H0,9.484184521398083e-17
A2+B2+G2,uniforme,0.5,C1,5.262595558872412e-16
A2+B2+G2,uniforme,0.5,C2,0.9999999882318956
A2+B2+G2,uniforme,0.5,C3,1.6387020420002237e-16
A2+B2+G2,uniforme,0.5,C4,1.1767927791791007e-8
A2+B2+G2,uniforme,0.5,C5,1.756709681991493e-13
A1+B1+G1,demografica,0.7,H0,7.647285686880708e-24
A1+B1+G1,demografica,0.7,C1,2.826505431045881e-23
A1+B1+G1,demografica,0.7,C2,0.9999999999993856
A1+B1+G1,demografica,0.7,C3,3.5658130103367e-24
A1+B1+G1,demografica,0.7,C4,6.143379085044265e-13
A1+B1+G1,demografica,0.7,C5,5.6776328653406994e-21
A2+B1+G1,demografica,0.7,H0,1.02708719515646e-23
A2+B1+G1,demografica,0.7,C1,6.313204018463721e-23
A2+B1+G1,demografica,0.7,C2,0.9999999999993856
A2+B1+G1,demografica,0.7,C3,7.964500891695776e-24
A2+B1+G1,demografica,0.7,C4,6.143379085044265e-13
A2+B1+G1,demografica,0.7,C5,1.0533369187219345e-20
A1+B2+G1,demografica,0.7,H0,2.4831749291702098e-23
A1+B2+G1,demografica,0.7,C1,7.456754144688895e-23
A1+B2+G1,demografica,0.7,C2,0.9999999999992808
A1+B2+G1,demografica,0.7,C3,1.5986690428626686e-23
A1+B2+G1,demografica,0.7,C4,7.191298480168322e-13
A1+B2+G1,demografica,0.7,C5,1.331886773667357e-20
A2+B2+G1,demografica,0.7,H0,3.335088131282543e-23
A2+B2+G1,demografica,0.7,C1,1.6655198930053562e-22
A2+B2+G1,demografica,0.7,C2,0.9999999999992808
A2+B2+G1,demografica,0.7,C3,3.5707427676371306e-23
A2+B2+G1,demografica,0.7,C4,7.191298480168322e-13
A2+B2+G1,demografica,0.7,C5,2.4709690526583325e-20
A1+B1+G2,demografica,0.7,H0,7.603390832535642e-23
A1+B1+G2,demografica,0.7,C1,2.810281498884677e-22
A1+B1+G2,demografica,0.7,C2,0.9999999999938918
A1+B1+G2,demografica,0.7,C3,4.4428184346416976e-23
A1+B1+G2,demografica,0.7,C4,6.108116543383637e-12
A1+B1+G2,demografica,0.7,C5,3.661569704893306e-19
A2+B1+G2,demografica,0.7,H0,1.0211917906067884e-22
A2+B1+G2,demografica,0.7,C1,6.276966694243369e-22
A2+B1+G2,demografica,0.7,C2,0.9999999999938918
A2+B1+G2,demografica,0.7,C3,9.923355846695124e-23
A2+B1+G2,demografica,0.7,C4,6.108116543383637e-12
A2+B1+G2,demografica,0.7,C5,6.793089025150373e-19
A1+B2+G2,demografica,0.7,H0,2.4689216886990386e-22
A1+B2+G2,demografica,0.7,C1,7.413952927299765e-22
A1+B2+G2,demografica,0.7,C2,0.9999999999928499
A1+B2+G2,demografica,0.7,C3,1.991858875921253e-22
A1+B2+G2,demografica,0.7,C4,7.150020958664004e-12
A1+B2+G2,demografica,0.7,C5,8.58948857115165e-19
A2+B2+G2,demografica,0.7,H0,3.3159449720273056e-22
A2+B2+G2,demografica,0.7,C1,1.655959931978987e-21
A2+B2+G2,demografica,0.7,C2,0.9999999999928499
A2+B2+G2,demografica,0.7,C3,4.448960657056159e-22
A2+B2+G2,demografica,0.7,C4,7.150020958664004e-12
A2+B2+G2,demografica,0.7,C5,1.5935559130928812e-18
A1+B1+G1,uniforme,0.7,H0,8.412014255568235e-24
A1+B1+G1,uniforme,0.7,C1,3.4546177490558786e-23
A1+B1+G1,uniforme,0.7,C2,0.9999999999993243
A1+B1+G1,uniforme,0.7,C3,6.537323852283523e-24
A1+B1+G1,uniforme,0.7,C4,6.75771699354831e-13
A1+B1+G1,uniforme,0.7,C5,1.561349037968591e-20
A2+B1+G1,uniforme,0.7,H0,1.1297959146720328e-23
A2+B1+G1,uniforme,0.7,C1,7.716138244788488e-23
A2+B1+G1,uniforme,0.7,C2,0.9999999999993243
A2+B1+G1,uniforme,0.7,C3,1.460158496810797e-23
A2+B1+G1,uniforme,0.7,C4,6.75771699354831e-13
A2+B1+G1,uniforme,0.7,C5,2.8966765264851316e-20
A1+B2+G1,uniforme,0.7,H0,2.731492422087009e-23
A1+B2+G1,uniforme,0.7,C1,9.11381062128568e-23
A1+B2+G1,uniforme,0.7,C2,0.9999999999992089
A1+B2+G1,uniforme,0.7,C3,2.9308932452479864e-23
A1+B2+G1,uniforme,0.7,C4,7.910428328184544e-13
A1+B2+G1,uniforme,0.7,C5,3.662688627584934e-20
A2+B2+G1,uniforme,0.7,H0,3.6685969444105e-23
A2+B2+G1,uniforme,0.7,C1,2.0356354247841575e-22
A2+B2+G1,uniforme,0.7,C2,0.9999999999992089
A2+B2+G1,uniforme,0.7,C3,6.546361740667539e-23
A2+B2+G1,uniforme,0.7,C4,7.910428328184544e-13
A2+B2+G1,uniforme,0.7,C5,6.795164894809862e-20
A1+B1+G2,uniforme,0.7,H0,8.363729915784149e-23
A1+B1+G2,uniforme,0.7,C1,3.4347884986347766e-22
A1+B1+G2,uniforme,0.7,C2,0.9999999999932812
A1+B1+G2,uniforme,0.7,C3,8.145167130171583e-23
A1+B1+G2,uniforme,0.7,C4,6.718928197717912e-12
A1+B1+G2,uniforme,0.7,C5,1.00693166884505e-18
A2+B1+G2,uniforme,0.7,H0,1.123310969666788e-22
A2+B1+G2,uniforme,0.7,C1,7.671848181848363e-22
A2+B1+G2,uniforme,0.7,C2,0.9999999999932812
A2+B1+G2,uniforme,0.7,C3,1.8192819052263384e-22
A2+B1+G2,uniforme,0.7,C4,6.718928197717912e-12
A2+B1+G2,uniforme,0.7,C5,1.8680994819152227e-18
A1+B2+G2,uniforme,0.7,H0,2.7158138575669896e-22
A1+B2+G2,uniforme,0.7,C1,9.061498022248744e-22
A1+B2+G2,uniforme,0.7,C2,0.999999999992135
A1+B2+G2,uniforme,0.7,C3,3.651741272519669e-22
A1+B2+G2,uniforme,0.7,C4,7.865023054524716e-12
A1+B2+G2,uniforme,0.7,C5,2.3621093570650044e-18
A2+B2+G2,uniforme,0.7,H0,3.647539469227413e-22
A2+B2+G2,uniforme,0.7,C1,2.0239510279728605e-21
A2+B2+G2,uniforme,0.7,C2,0.999999999992135
A2+B2+G2,uniforme,0.7,C3,8.156427871263756e-22
A2+B2+G2,uniforme,0.7,C4,7.865023054524716e-12
A2+B2+G2,uniforme,0.7,C5,4.382278761002271e-18
A1+B1+G1,demografica,1,H0,2.155297945042074e-32
A1+B1+G1,demografica,1,C1,7.966174661990863e-32
A1+B1+G1,demografica,1,C2,1
A1+B1+G1,demografica,1,C3,1.3432553074609088e-32
A1+B1+G1,demografica,1,C4,3.966498686824305e-18
A1+B1+G1,demografica,1,C5,1.1862256377973343e-28
A2+B1+G1,demografica,1,H0,2.894725019751021e-32
A2+B1+G1,demografica,1,C1,1.7793026447239199e-31
A2+B1+G1,demografica,1,C2,1
A2+B1+G1,demografica,1,C3,3.000257742914373e-32
A2+B1+G1,demografica,1,C4,3.966498686824305e-18
A2+B1+G1,demografica,1,C5,2.200732748772805e-28
A1+B2+G1,demografica,1,H0,6.998537835722165e-32
A1+B2+G1,demografica,1,C1,2.1015988604041748e-31
A1+B2+G1,demografica,1,C2,1
A1+B2+G1,demografica,1,C3,6.022247017647709e-32
A1+B2+G1,demografica,1,C4,4.643092275974515e-18
A1+B2+G1,demografica,1,C5,2.782705882960861e-28
A2+B2+G1,demografica,1,H0,9.399555463476134e-32
A2+B2+G1,demografica,1,C1,4.694072838131066e-31
A2+B2+G1,demografica,1,C2,1
A2+B2+G1,demografica,1,C3,1.345112365764183e-31
A2+B2+G1,demografica,1,C4,4.643092275974515e-18
A2+B2+G1,demografica,1,C5,5.162586081182803e-28
A1+B1+G2,demografica,1,H0,5.734655253706333e-31
A1+B1+G2,demografica,1,C1,2.1195800553893437e-30
A1+B1+G2,demografica,1,C2,1
A1+B1+G2,demografica,1,C3,4.933538994805061e-31
A1+B1+G2,demografica,1,C4,1.0553762455692558e-16
A1+B1+G2,demografica,1,C5,4.5621263194836383e-26
A2+B1+G2,demografica,1,H0,7.702067401278158e-31
A2+B1+G2,demografica,1,C1,4.73423513578324e-30
A2+B1+G2,demografica,1,C2,1
A2+B1+G2,demografica,1,C3,1.1019415659047851e-30
A2+B1+G2,demografica,1,C4,1.0553762455692558e-16
A2+B1+G2,demografica,1,C5,8.463837296561042e-26
A1+B2+G2,demografica,1,H0,1.8621185001456118e-30
A1+B2+G2,demografica,1,C1,5.5917767535220165e-30
A1+B2+G2,demografica,1,C2,0.9999999999999998
A1+B2+G2,demografica,1,C3,2.2118647388093686e-30
A1+B2+G2,demografica,1,C4,1.2353991973643703e-16
A1+B2+G2,demografica,1,C5,1.0702058144360087e-25
A2+B2+G2,demografica,1,H0,2.5009632772639805e-30
A2+B2+G2,demografica,1,C1,1.2489637232936271e-29
A2+B2+G2,demografica,1,C2,0.9999999999999998
A2+B2+G2,demografica,1,C3,4.940359641262917e-30
A2+B2+G2,demografica,1,C4,1.2353991973643703e-16
A2+B2+G2,demografica,1,C5,1.9854881809246366e-25
A1+B1+G1,uniforme,1,H0,2.3708277395462832e-32
A1+B1+G1,uniforme,1,C1,9.736435697988832e-32
A1+B1+G1,uniforme,1,C2,1
A1+B1+G1,uniforme,1,C3,2.462634730345e-32
A1+B1+G1,uniforme,1,C4,4.363148555506774e-18
A1+B1+G1,uniforme,1,C5,3.262120503942671e-28
A2+B1+G1,uniforme,1,H0,3.1841975217261257e-32
A2+B1+G1,uniforme,1,C1,2.1747032324403466e-31
A2+B1+G1,uniforme,1,C2,1
A2+B1+G1,uniforme,1,C3,5.500472528676351e-32
A2+B1+G1,uniforme,1,C4,4.363148555506774e-18
A2+B1+G1,uniforme,1,C5,6.052015059125217e-28
A1+B2+G1,uniforme,1,H0,7.698391619294324e-32
A1+B2+G1,uniforme,1,C1,2.568620829382859e-31
A1+B2+G1,uniforme,1,C2,1
A1+B2+G1,uniforme,1,C3,1.1040786199020712e-31
A1+B2+G1,uniforme,1,C4,5.1074015035719286e-18
A1+B2+G1,uniforme,1,C5,7.652441178142309e-28
A2+B2+G1,uniforme,1,H0,1.033951100982367e-31
A2+B2+G1,uniforme,1,C1,5.737200135493478e-31
A2+B2+G1,uniforme,1,C2,1
A2+B2+G1,uniforme,1,C3,2.466039337234336e-31
A2+B2+G1,uniforme,1,C4,5.1074015035719286e-18
A2+B2+G1,uniforme,1,C5,1.41971117232526e-27
A1+B1+G2,uniforme,1,H0,6.308120779076972e-31
A1+B1+G2,uniforme,1,C1,2.5905978454758856e-30
A1+B1+G2,uniforme,1,C2,0.9999999999999998
A1+B1+G2,uniforme,1,C3,9.044821490475946e-31
A1+B1+G2,uniforme,1,C4,1.1609138701261822e-16
