combinacion,prior,lambda,candidato_mas_probable,posterior_max,decision
A2+B2+G2,demografica,0.3,C2,0.9999839906401583,identificacion positiva
A2+B2+G2,demografica,0.5,C2,0.9999999893018193,identificacion positiva
A2+B2+G2,demografica,0.7,C2,0.9999999999928499,identificacion positiva
A2+B2+G2,demografica,1,C2,0.9999999999999998,identificacion positiva
A1+B1+G1,uniforme,0,C2,0.5297524747115165,indeterminacion
A1+B1+G1,uniforme,0.3,C2,0.9999943789241887,identificacion positiva
A1+B1+G1,uniforme,0.5,C2,0.9999999980510512,identificacion positiva
A1+B1+G1,uniforme,0.7,C2,0.9999999999993243,identificacion positiva
A1+B1+G1,uniforme,1,C2,1,identificacion positiva
A1+B1+G2,uniforme,0,C2,0.5297524747115165,indeterminacion
A1+B1+G2,uniforme,0.3,C2,0.9999849567694726,identificacion positiva
A1+B1+G2,uniforme,0.5,C2,0.9999999899468596,identificacion positiva
A1+B1+G2,uniforme,0.7,C2,0.9999999999932812,identificacion positiva
A1+B1+G2,uniforme,1,C2,0.9999999999999998,identificacion positiva
A1+B2+G1,uniforme,0,C4,0.49435122708653634,indeterminacion
A1+B2+G1,uniforme,0.3,C2,0.9999934197643456,identificacion positiva
A1+B2+G1,uniforme,0.5,C2,0.9999999977186027,identificacion positiva
A1+B2+G1,uniforme,0.7,C2,0.9999999999992089,identificacion positiva
A1+B2+G1,uniforme,1,C2,1,identificacion positiva
A1+B2+G2,uniforme,0,C4,0.49435122708653634,indeterminacion
A1+B2+G2,uniforme,0.3,C2,0.999982388826656,identificacion positiva
A1+B2+G2,uniforme,0.5,C2,0.9999999882319773,identificacion positiva
A1+B2+G2,uniforme,0.7,C2,0.999999999992135,identificacion positiva
A1+B2+G2,uniforme,1,C2,0.9999999999999998,identificacion positiva
A2+B1+G1,uniforme,0,C2,0.5254304822454904,indeterminacion
A2+B1+G1,uniforme,0.3,C2,0.999994378679333,identificacion positiva
A2+B1+G1,uniforme,0.5,C2,0.9999999980510494,identificacion positiva
A2+B1+G1,uniforme,0.7,C2,0.9999999999993243,identificacion positiva
A2+B1+G1,uniforme,1,C2,1,identificacion positiva
A2+B1+G2,uniforme,0,C2,0.5254304822454904,indeterminacion
A2+B1+G2,uniforme,0.3,C2,0.9999849553510277,identificacion positiva
A2+B1+G2,uniforme,0.5,C2,0.9999999899468252,identificacion positiva
A2+B1+G2,uniforme,0.7,C2,0.9999999999932812,identificacion positiva
A2+B1+G2,uniforme,1,C2,0.9999999999999998,identificacion positiva
A2+B2+G1,uniforme,0,C4,0.4852767877298725,indeterminacion
A2+B2+G1,uniforme,0.3,C2,0.9999934191832293,identificacion positiva
A2+B2+G1,uniforme,0.5,C2,0.9999999977185985,identificacion positiva
A2+B2+G1,uniforme,0.7,C2,0.9999999999992089,identificacion positiva
A2+B2+G1,uniforme,1,C2,1,identificacion positiva
A2+B2+G2,uniforme,0,C4,0.4852767877298725,indeterminacion
A2+B2+G2,uniforme,0.3,C2,0.9999823854804254,identificacion positiva
A2+B2+G2,uniforme,0.5,C2,0.9999999882318956,identificacion positiva
A2+B2+G2,uniforme,0.7,C2,0.999999999992135,identificacion positiva
A2+B2+G2,uniforme,1,C2,0.9999999999999998,identificacion positiva
